timestamp,device,input,value,poll_hz
1778241813.1241975,rock_candy_switch,LX,0.0078125,0
1778241813.124201,rock_candy_switch,LY,-0.015625,0
1778241813.1254568,rock_candy_switch,LX,0.015625,815.06
1778241813.125459,rock_candy_switch,LY,-0.015625,815.06
1778241813.130274,rock_candy_switch,LX,-0.015625,330.91
1778241813.1302762,rock_candy_switch,LY,-0.0078125,330.91
1778241813.1352615,rock_candy_switch,LX,0.0,271.97
1778241813.1352632,rock_candy_switch,LY,0.0,271.97
1778241813.1402035,rock_candy_switch,LX,0.0078125,250.51
1778241813.1402054,rock_candy_switch,LY,0.0078125,250.51
1778241813.1450183,rock_candy_switch,LX,0.015625,240.52
1778241813.1450205,rock_candy_switch,LY,-0.015625,240.52
1778241813.149911,rock_candy_switch,LX,0.015625,233.65
1778241813.1499133,rock_candy_switch,LY,-0.0078125,233.65
1778241813.1549058,rock_candy_switch,LX,0.015625,228.2
1778241813.154908,rock_candy_switch,LY,0.015625,228.2
1778241813.1599588,rock_candy_switch,LX,0.0,223.94
1778241813.1599615,rock_candy_switch,LY,0.0078125,223.94
1778241813.1648786,rock_candy_switch,LX,0.0,221.46
1778241813.164881,rock_candy_switch,LY,0.0078125,221.46
1778241813.1698833,rock_candy_switch,LX,0.0078125,219.17
1778241813.1698854,rock_candy_switch,LY,-0.015625,219.17
1778241813.1749399,rock_candy_switch,LX,-0.015625,216.94
1778241813.1749423,rock_candy_switch,LY,0.015625,216.94
1778241813.179949,rock_candy_switch,LX,0.0,215.41
1778241813.1799684,rock_candy_switch,LY,0.0078125,215.41
1778241813.1849387,rock_candy_switch,LX,-0.015625,214.18
1778241813.184942,rock_candy_switch,LY,0.0078125,214.18
1778241813.1899006,rock_candy_switch,LX,0.015625,213.19
1778241813.1899025,rock_candy_switch,LY,-0.0078125,213.19
1778241813.194662,rock_candy_switch,LX,0.0078125,213.01
1778241813.1946642,rock_candy_switch,LY,-0.015625,213.01
1778241813.1996872,rock_candy_switch,LX,-0.015625,212.08
1778241813.1996894,rock_candy_switch,LY,0.0,212.08
1778241813.204692,rock_candy_switch,LX,0.0078125,211.29
1778241813.2046943,rock_candy_switch,LY,-0.0078125,211.29
1778241813.2096555,rock_candy_switch,LX,0.0,210.71
1778241813.209658,rock_candy_switch,LY,0.015625,210.71
1778241813.2146215,rock_candy_switch,LX,0.0,210.22
1778241813.2146237,rock_candy_switch,LY,0.0078125,210.22
1778241813.2195876,rock_candy_switch,LX,-0.0078125,209.76
1778241813.2195897,rock_candy_switch,LY,-0.0078125,209.76
1778241813.2246168,rock_candy_switch,LX,-0.015625,209.26
1778241813.224619,rock_candy_switch,LY,-0.015625,209.26
1778241813.22967,rock_candy_switch,LX,0.0078125,208.68
1778241813.2296762,rock_candy_switch,LY,0.0078125,208.68
1778241813.2346995,rock_candy_switch,LX,-0.0078125,208.22
1778241813.2347016,rock_candy_switch,LY,-0.0078125,208.22
1778241813.2397552,rock_candy_switch,LX,0.015625,207.75
1778241813.239757,rock_candy_switch,LY,0.0078125,207.75
1778241813.244705,rock_candy_switch,LX,0.0,207.52
1778241813.244707,rock_candy_switch,LY,-0.015625,207.52
1778241813.2497725,rock_candy_switch,LX,0.015625,207.11
1778241813.2497756,rock_candy_switch,LY,-0.0078125,207.11
1778241813.2548938,rock_candy_switch,LX,-0.0078125,206.65
1778241813.254896,rock_candy_switch,LY,0.0078125,206.65
1778241813.2598739,rock_candy_switch,LX,-0.0078125,206.45
1778241813.2598758,rock_candy_switch,LY,0.0,206.45
1778241813.264866,rock_candy_switch,LX,-0.0078125,206.22
1778241813.264868,rock_candy_switch,LY,0.015625,206.22
1778241813.2697303,rock_candy_switch,LX,0.0,206.21
1778241813.2697322,rock_candy_switch,LY,0.015625,206.21
1778241813.2746947,rock_candy_switch,LX,0.0078125,206.07
1778241813.2746966,rock_candy_switch,LY,0.0078125,206.07
1778241813.2796912,rock_candy_switch,LX,0.0,205.89
1778241813.2796936,rock_candy_switch,LY,-0.015625,205.89
1778241813.2846296,rock_candy_switch,LX,-0.0078125,205.76
1778241813.2846317,rock_candy_switch,LY,-0.0078125,205.76
1778241813.289702,rock_candy_switch,LX,0.015625,205.73
1778241813.2897038,rock_candy_switch,LY,0.015625,205.73
1778241813.2946904,rock_candy_switch,LX,-0.0078125,205.34
1778241813.2946923,rock_candy_switch,LY,0.0,205.34
1778241813.2996829,rock_candy_switch,LX,0.015625,205.23
1778241813.2996845,rock_candy_switch,LY,0.015625,205.23
1778241813.3046467,rock_candy_switch,LX,0.0078125,205.09
1778241813.3046489,rock_candy_switch,LY,-0.015625,205.09
1778241813.3096848,rock_candy_switch,LX,0.0,204.91
1778241813.309687,rock_candy_switch,LY,-0.0078125,204.91
1778241813.314707,rock_candy_switch,LX,-0.015625,204.76
1778241813.314709,rock_candy_switch,LY,0.0078125,204.76
1778241813.3196504,rock_candy_switch,LX,0.0,204.72
1778241813.3196526,rock_candy_switch,LY,0.0078125,204.72
1778241813.3247306,rock_candy_switch,LX,0.0078125,204.5
1778241813.3247328,rock_candy_switch,LY,0.0,204.5
1778241813.3296955,rock_candy_switch,LX,0.0,204.42
1778241813.3296976,rock_candy_switch,LY,0.0,204.42
1778241813.3346608,rock_candy_switch,LX,-0.015625,204.4
1778241813.3346632,rock_candy_switch,LY,0.015625,204.4
1778241813.339648,rock_candy_switch,LX,-0.0078125,204.27
1778241813.3396502,rock_candy_switch,LY,0.0,204.27
1778241813.344631,rock_candy_switch,LX,-0.0078125,204.19
1778241813.344633,rock_candy_switch,LY,0.0,204.19
1778241813.3496776,rock_candy_switch,LX,0.015625,204.05
1778241813.3496797,rock_candy_switch,LY,-0.015625,204.05
